epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,11328.4,0.95862,0.7365,1.05723,0.79271,0.73082,0.76968,0.57913,0.95015,0.7466,1.09568,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11570.8,0.95133,0.7234,1.05031,0.81275,0.71361,0.76269,0.5735,0.95203,0.75255,1.10104,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11812.8,0.94779,0.72036,1.04983,0.82654,0.70258,0.76539,0.57662,0.94992,0.7451,1.09441,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12054.9,0.95553,0.72555,1.05165,0.81059,0.72318,0.77785,0.58986,0.94554,0.74348,1.09839,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12296.7,0.94067,0.70599,1.04527,0.83195,0.71222,0.78461,0.59408,0.94895,0.72618,1.0932,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12539.3,0.93185,0.69353,1.04058,0.79548,0.73425,0.78195,0.59187,0.94583,0.72366,1.09551,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12781.7,0.92982,0.69372,1.04111,0.80752,0.72491,0.78201,0.59419,0.93943,0.72784,1.08681,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13023.9,0.92189,0.68134,1.03412,0.80646,0.70437,0.76916,0.58389,0.94267,0.72791,1.08233,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13266.5,0.92401,0.68315,1.03637,0.82709,0.70926,0.77009,0.58521,0.9441,0.72537,1.09389,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13508.5,0.92558,0.67998,1.03584,0.80783,0.73437,0.77935,0.59462,0.94147,0.72673,1.08795,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13750.6,0.92241,0.66629,1.03837,0.81995,0.72545,0.78691,0.60342,0.93636,0.71597,1.0909,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13992.9,0.91242,0.65201,1.03487,0.84481,0.70737,0.78376,0.59867,0.93887,0.71925,1.09517,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14236.2,0.90952,0.65895,1.03209,0.81262,0.72063,0.77371,0.59037,0.93547,0.7163,1.08803,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14479.8,0.90875,0.65188,1.03071,0.81553,0.72632,0.78531,0.59654,0.93281,0.71438,1.0896,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14721.8,0.89568,0.63657,1.02644,0.84126,0.71137,0.78521,0.59825,0.94234,0.71698,1.09022,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14964.3,0.88722,0.62862,1.01785,0.80053,0.73541,0.77868,0.59376,0.93488,0.71143,1.08748,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15206.8,0.89224,0.62855,1.01841,0.82718,0.70902,0.77811,0.5912,0.93757,0.71271,1.08644,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15448.8,0.88323,0.62728,1.01901,0.80606,0.72386,0.78326,0.59742,0.93094,0.70999,1.08206,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15690.8,0.88981,0.62474,1.02002,0.78328,0.75825,0.78149,0.59777,0.93287,0.71316,1.08376,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15938.5,0.87853,0.61383,1.01481,0.83176,0.72926,0.78494,0.60095,0.92832,0.70854,1.0846,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16221.2,0.87779,0.60426,1.01245,0.84015,0.70563,0.78001,0.59611,0.93045,0.71079,1.08446,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16487.8,0.87529,0.60472,1.01366,0.83919,0.70942,0.78651,0.60037,0.92941,0.70651,1.08474,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16744.4,0.87249,0.59761,1.01146,0.82706,0.71837,0.78429,0.59932,0.92603,0.71326,1.08545,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17002.3,0.86586,0.58999,1.00509,0.80046,0.74807,0.78767,0.60207,0.92764,0.70862,1.08162,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17264.1,0.85869,0.58607,1.00446,0.83128,0.74525,0.78458,0.59958,0.92819,0.70641,1.08319,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,17524.4,0.85893,0.58257,1.00112,0.83369,0.73698,0.78319,0.59994,0.9295,0.70547,1.08261,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17786.3,0.85083,0.57565,1.00141,0.80984,0.74385,0.78958,0.60213,0.92933,0.70327,1.08349,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,18050.6,0.84531,0.56091,0.99422,0.82651,0.74245,0.78619,0.60125,0.92675,0.70391,1.08036,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18313.9,0.84931,0.56435,0.99887,0.8145,0.74562,0.78713,0.5996,0.92922,0.70107,1.08117,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,18578,0.83151,0.55917,0.99218,0.79947,0.76379,0.78937,0.60395,0.92601,0.69717,1.08065,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18845,0.83192,0.54781,0.98962,0.79822,0.75052,0.78336,0.59923,0.92541,0.69938,1.08223,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
