cell_id,latitude,longitude
927:2840,2.75,104.05
927:2842,2.75,104.25
927:2843,2.75,104.35
927:2844,2.75,104.45
927:2845,2.75,104.55
927:2846,2.75,104.65
927:2847,2.75,104.75
927:2848,2.75,104.85
927:2898,2.75,109.85
927:2899,2.75,109.95
927:2900,2.75,110.05
927:2901,2.75,110.15
927:2902,2.75,110.25
927:2903,2.75,110.35
927:2904,2.75,110.45
927:2905,2.75,110.55
927:2906,2.75,110.65
927:2907,2.75,110.75
927:2908,2.75,110.85
927:2909,2.75,110.95
927:2910,2.75,111.05
927:2911,2.75,111.15
927:2912,2.75,111.25
927:2914,2.75,111.45
928:2810,2.85,101.05
928:2811,2.85,101.15
928:2812,2.85,101.25
928:2835,2.85,103.55
928:2836,2.85,103.65
928:2837,2.85,103.75
928:2838,2.85,103.85
928:2839,2.85,103.95
928:2840,2.85,104.05
928:2841,2.85,104.15
928:2842,2.85,104.25
928:2843,2.85,104.35
928:2844,2.85,104.45
928:2845,2.85,104.55
928:2846,2.85,104.65
928:2847,2.85,104.75
928:2848,2.85,104.85
928:2899,2.85,109.95
928:2900,2.85,110.05
928:2901,2.85,110.15
928:2902,2.85,110.25
928:2903,2.85,110.35
928:2904,2.85,110.45
928:2905,2.85,110.55
928:2906,2.85,110.65
928:2907,2.85,110.75
928:2908,2.85,110.85
928:2909,2.85,110.95
928:2910,2.85,111.05
928:2911,2.85,111.15
928:2912,2.85,111.25
928:2913,2.85,111.35
928:2914,2.85,111.45
928:2915,2.85,111.55
928:2916,2.85,111.65
929:2809,2.95,100.95
929:2810,2.95,101.05
929:2811,2.95,101.15
929:2834,2.95,103.45
929:2835,2.95,103.55
929:2836,2.95,103.65
929:2837,2.95,103.75
929:2838,2.95,103.85
929:2839,2.95,103.95
929:2840,2.95,104.05
929:2841,2.95,104.15
929:2842,2.95,104.25
929:2843,2.95,104.35
929:2844,2.95,104.45
929:2845,2.95,104.55
929:2846,2.95,104.65
929:2847,2.95,104.75
929:2848,2.95,104.85
929:2899,2.95,109.95
929:2900,2.95,110.05
929:2901,2.95,110.15
929:2902,2.95,110.25
929:2903,2.95,110.35
929:2904,2.95,110.45
929:2905,2.95,110.55
929:2906,2.95,110.65
929:2907,2.95,110.75
929:2908,2.95,110.85
929:2909,2.95,110.95
929:2910,2.95,111.05
929:2911,2.95,111.15
929:2912,2.95,111.25
929:2913,2.95,111.35
929:2914,2.95,111.45
929:2915,2.95,111.55
929:2916,2.95,111.65
929:2917,2.95,111.75
929:2918,2.95,111.85
929:2919,2.95,111.95
929:2920,2.95,112.05
929:2921,2.95,112.15
930:2808,3.05,100.85
930:2809,3.05,100.95
930:2810,3.05,101.05
930:2811,3.05,101.15
930:2813,3.05,101.35
930:2834,3.05,103.45
930:2835,3.05,103.55
930:2836,3.05,103.65
930:2837,3.05,103.75
930:2838,3.05,103.85
930:2839,3.05,103.95
930:2840,3.05,104.05
930:2841,3.05,104.15
930:2842,3.05,104.25
930:2843,3.05,104.35
930:2844,3.05,104.45
930:2845,3.05,104.55
930:2846,3.05,104.65
930:2847,3.05,104.75
930:2899,3.05,109.95
930:2900,3.05,110.05
930:2901,3.05,110.15
930:2902,3.05,110.25
930:2903,3.05,110.35
930:2904,3.05,110.45
930:2905,3.05,110.55
930:2906,3.05,110.65
930:2907,3.05,110.75
930:2908,3.05,110.85
930:2909,3.05,110.95
930:2910,3.05,111.05
930:2911,3.05,111.15
930:2912,3.05,111.25
930:2913,3.05,111.35
930:2914,3.05,111.45
930:2915,3.05,111.55
930:2916,3.05,111.65
930:2917,3.05,111.75
930:2918,3.05,111.85
930:2919,3.05,111.95
930:2920,3.05,112.05
930:2921,3.05,112.15
930:2922,3.05,112.25
930:2923,3.05,112.35
930:2924,3.05,112.45
930:2925,3.05,112.55
930:2926,3.05,112.65
931:2807,3.15,100.75
931:2808,3.15,100.85
931:2809,3.15,100.95
931:2810,3.15,101.05
931:2811,3.15,101.15
931:2812,3.15,101.25
931:2834,3.15,103.45
931:2835,3.15,103.55
931:2836,3.15,103.65
931:2837,3.15,103.75
931:2838,3.15,103.85
931:2839,3.15,103.95
931:2840,3.15,104.05
931:2841,3.15,104.15
931:2842,3.15,104.25
931:2843,3.15,104.35
931:2844,3.15,104.45
931:2845,3.15,104.55
931:2846,3.15,104.65
931:2847,3.15,104.75
931:2899,3.15,109.95
931:2900,3.15,110.05
931:2901,3.15,110.15
931:2902,3.15,110.25
931:2903,3.15,110.35
931:2904,3.15,110.45
931:2905,3.15,110.55
931:2906,3.15,110.65
931:2907,3.15,110.75
931:2908,3.15,110.85
931:2909,3.15,110.95
931:2910,3.15,111.05
931:2911,3.15,111.15
931:2912,3.15,111.25
931:2913,3.15,111.35
931:2914,3.15,111.45
931:2915,3.15,111.55
931:2916,3.15,111.65
931:2917,3.15,111.75
931:2918,3.15,111.85
931:2919,3.15,111.95
931:2920,3.15,112.05
931:2921,3.15,112.15
931:2922,3.15,112.25
931:2923,3.15,112.35
931:2924,3.15,112.45
931:2925,3.15,112.55
931:2926,3.15,112.65
931:2927,3.15,112.75
931:2928,3.15,112.85
931:2929,3.15,112.95
931:2933,3.15,113.35
931:2997,3.15,119.75
931:2998,3.15,119.85
931:2999,3.15,119.95
932:2805,3.25,100.55
932:2806,3.25,100.65
932:2807,3.25,100.75
932:2808,3.25,100.85
932:2809,3.25,100.95
932:2810,3.25,101.05
932:2811,3.25,101.15
932:2812,3.25,101.25
932:2834,3.25,103.45
932:2835,3.25,103.55
932:2836,3.25,103.65
932:2837,3.25,103.75
932:2838,3.25,103.85
932:2839,3.25,103.95
932:2840,3.25,104.05
932:2841,3.25,104.15
932:2842,3.25,104.25
932:2843,3.25,104.35
932:2844,3.25,104.45
932:2845,3.25,104.55
932:2846,3.25,104.65
932:2847,3.25,104.75
932:2899,3.25,109.95
932:2900,3.25,110.05
932:2901,3.25,110.15
932:2902,3.25,110.25
932:2903,3.25,110.35
932:2904,3.25,110.45
932:2905,3.25,110.55
932:2906,3.25,110.65
932:2907,3.25,110.75
932:2908,3.25,110.85
932:2909,3.25,110.95
932:2910,3.25,111.05
932:2911,3.25,111.15
932:2912,3.25,111.25
932:2913,3.25,111.35
932:2914,3.25,111.45
932:2915,3.25,111.55
932:2916,3.25,111.65
932:2917,3.25,111.75
932:2918,3.25,111.85
932:2919,3.25,111.95
932:2920,3.25,112.05
932:2921,3.25,112.15
932:2922,3.25,112.25
932:2923,3.25,112.35
932:2924,3.25,112.45
932:2925,3.25,112.55
932:2926,3.25,112.65
932:2927,3.25,112.75
932:2928,3.25,112.85
932:2929,3.25,112.95
932:2930,3.25,113.05
932:2994,3.25,119.45
932:2995,3.25,119.55
932:2996,3.25,119.65
932:2997,3.25,119.75
932:2998,3.25,119.85
933:2804,3.35,100.45
933:2805,3.35,100.55
933:2806,3.35,100.65
933:2807,3.35,100.75
933:2808,3.35,100.85
933:2809,3.35,100.95
933:2810,3.35,101.05
933:2811,3.35,101.15
933:2834,3.35,103.45
933:2835,3.35,103.55
933:2836,3.35,103.65
933:2837,3.35,103.75
933:2838,3.35,103.85
933:2839,3.35,103.95
933:2840,3.35,104.05
933:2841,3.35,104.15
933:2842,3.35,104.25
933:2843,3.35,104.35
933:2844,3.35,104.45
933:2845,3.35,104.55
933:2846,3.35,104.65
933:2847,3.35,104.75
933:2899,3.35,109.95
933:2900,3.35,110.05
933:2901,3.35,110.15
933:2902,3.35,110.25
933:2903,3.35,110.35
933:2904,3.35,110.45
933:2905,3.35,110.55
933:2906,3.35,110.65
933:2907,3.35,110.75
933:2908,3.35,110.85
933:2909,3.35,110.95
933:2910,3.35,111.05
933:2911,3.35,111.15
933:2912,3.35,111.25
933:2913,3.35,111.35
933:2914,3.35,111.45
933:2915,3.35,111.55
933:2916,3.35,111.65
933:2917,3.35,111.75
933:2918,3.35,111.85
933:2919,3.35,111.95
933:2920,3.35,112.05
933:2921,3.35,112.15
933:2922,3.35,112.25
933:2923,3.35,112.35
933:2924,3.35,112.45
933:2925,3.35,112.55
933:2926,3.35,112.65
933:2927,3.35,112.75
933:2928,3.35,112.85
933:2929,3.35,112.95
933:2930,3.35,113.05
933:2931,3.35,113.15
933:2992,3.35,119.25
933:2993,3.35,119.35
933:2994,3.35,119.45
933:2995,3.35,119.55
933:2996,3.35,119.65
933:2997,3.35,119.75
934:2803,3.45,100.35
934:2804,3.45,100.45
934:2805,3.45,100.55
934:2806,3.45,100.65
934:2807,3.45,100.75
934:2808,3.45,100.85
934:2809,3.45,100.95
934:2810,3.45,101.05
934:2834,3.45,103.45
934:2835,3.45,103.55
934:2836,3.45,103.65
934:2837,3.45,103.75
934:2838,3.45,103.85
934:2839,3.45,103.95
934:2840,3.45,104.05
934:2841,3.45,104.15
934:2842,3.45,104.25
934:2843,3.45,104.35
934:2844,3.45,104.45
934:2845,3.45,104.55
934:2846,3.45,104.65
934:2847,3.45,104.75
934:2899,3.45,109.95
934:2900,3.45,110.05
934:2901,3.45,110.15
934:2902,3.45,110.25
934:2903,3.45,110.35
934:2904,3.45,110.45
934:2905,3.45,110.55
934:2906,3.45,110.65
934:2907,3.45,110.75
934:2908,3.45,110.85
934:2909,3.45,110.95
934:2910,3.45,111.05
934:2911,3.45,111.15
934:2912,3.45,111.25
934:2913,3.45,111.35
934:2914,3.45,111.45
934:2915,3.45,111.55
934:2916,3.45,111.65
934:2917,3.45,111.75
934:2918,3.45,111.85
934:2919,3.45,111.95
934:2920,3.45,112.05
934:2921,3.45,112.15
934:2922,3.45,112.25
934:2923,3.45,112.35
934:2924,3.45,112.45
934:2925,3.45,112.55
934:2926,3.45,112.65
934:2927,3.45,112.75
934:2928,3.45,112.85
934:2929,3.45,112.95
934:2930,3.45,113.05
934:2931,3.45,113.15
934:2990,3.45,119.05
934:2991,3.45,119.15
934:2992,3.45,119.25
934:2993,3.45,119.35
934:2994,3.45,119.45
934:2995,3.45,119.55
934:2996,3.45,119.65
935:2802,3.55,100.25
935:2803,3.55,100.35
935:2804,3.55,100.45
935:2805,3.55,100.55
935:2806,3.55,100.65
935:2807,3.55,100.75
935:2808,3.55,100.85
935:2809,3.55,100.95
935:2810,3.55,101.05
935:2834,3.55,103.45
935:2835,3.55,103.55
935:2836,3.55,103.65
935:2837,3.55,103.75
935:2838,3.55,103.85
935:2839,3.55,103.95
935:2840,3.55,104.05
935:2841,3.55,104.15
935:2842,3.55,104.25
935:2843,3.55,104.35
935:2844,3.55,104.45
935:2845,3.55,104.55
935:2846,3.55,104.65
935:2847,3.55,104.75
935:2899,3.55,109.95
935:2900,3.55,110.05
935:2901,3.55,110.15
935:2902,3.55,110.25
935:2903,3.55,110.35
935:2904,3.55,110.45
935:2905,3.55,110.55
935:2906,3.55,110.65
935:2907,3.55,110.75
935:2908,3.55,110.85
935:2909,3.55,110.95
935:2910,3.55,111.05
935:2911,3.55,111.15
935:2912,3.55,111.25
935:2913,3.55,111.35
935:2914,3.55,111.45
935:2915,3.55,111.55
935:2916,3.55,111.65
935:2917,3.55,111.75
935:2918,3.55,111.85
935:2919,3.55,111.95
935:2920,3.55,112.05
935:2921,3.55,112.15
935:2922,3.55,112.25
935:2923,3.55,112.35
935:2924,3.55,112.45
