cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
917:2842,1.75,104.25,0.7733168179851968,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2843,1.75,104.35,0.49586516558636945,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2844,1.75,104.45,0.3235824354007126,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2845,1.75,104.55,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2846,1.75,104.65,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2847,1.75,104.75,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2848,1.75,104.85,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2849,1.75,104.95,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2899,1.75,109.95,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2900,1.75,110.05,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2901,1.75,110.15,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2902,1.75,110.25,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2904,1.75,110.45,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2905,1.75,110.55,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2906,1.75,110.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2907,1.75,110.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2908,1.75,110.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2909,1.75,110.95,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
917:2910,1.75,111.05,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2823,1.85,102.35,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2824,1.85,102.45,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2825,1.85,102.55,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2826,1.85,102.65,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2827,1.85,102.75,0.6812967027615496,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2841,1.85,104.15,0.8150247710881837,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2842,1.85,104.25,0.7733168179851968,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2843,1.85,104.35,0.49586516558636945,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2844,1.85,104.45,0.3235824354007126,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2845,1.85,104.55,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2846,1.85,104.65,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2847,1.85,104.75,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2848,1.85,104.85,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2849,1.85,104.95,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
