cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
920:2909,2.05,110.95,0.7686006261625353,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2910,2.05,111.05,0.7725290945391444,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
920:2911,2.05,111.15,0.7764102707944026,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2819,2.15,101.95,0.2923013893263981,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2820,2.15,102.05,0.29691916477917557,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2821,2.15,102.15,0.3015788042172794,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2822,2.15,102.25,0.30627971361326095,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2840,2.15,104.05,0.39709285601744804,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2841,2.15,104.15,0.40242474807073714,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2842,2.15,104.25,0.4077798107785522,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2843,2.15,104.35,0.4131568650473139,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2844,2.15,104.45,0.4185547111791665,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2845,2.15,104.55,0.42397212987745014,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2846,2.15,104.65,0.42940788329075497,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2847,2.15,104.75,0.434860716093777,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2848,2.15,104.85,0.4403293566031061,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2849,2.15,104.95,0.4458125179259241,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2850,2.15,105.05,0.45130889913950056,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2897,2.15,109.75,0.7003574960932922,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2898,2.15,109.85,0.7049998546711648,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2899,2.15,109.95,0.7096001121806547,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2900,2.15,110.05,0.7141577185793982,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2901,2.15,110.15,0.7186721548373558,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2902,2.15,110.25,0.7231429328204189,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2903,2.15,110.35,0.7275695951345329,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2904,2.15,110.45,0.7319517149316654,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2905,2.15,110.55,0.7362888956790266,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2906,2.15,110.65,0.7405807708929995,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2907,2.15,110.75,0.7448270038392579,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2908,2.15,110.85,0.7490272872006206,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2909,2.15,110.95,0.7531813427141824,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2910,2.15,111.05,0.7572889207793156,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2911,2.15,111.15,0.7613498000381492,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2912,2.15,111.25,0.7653637869301181,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2913,2.15,111.35,0.7693307152222292,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
921:2920,2.15,112.05,0.7957731109948325,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2818,2.25,101.85,0.27066957796557833,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2819,2.25,101.95,0.2750784463025502,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2820,2.25,102.05,0.27953160495696106,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2840,2.25,104.05,0.3769845080195527,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2841,2.25,104.15,0.3822175681927773,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2842,2.25,104.25,0.38747809142977657,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2843,2.25,104.35,0.3927649857445083,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2844,2.25,104.45,0.39807713509250076,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2845,2.25,104.55,0.4034134002152688,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2846,2.25,104.65,0.4087726195288402,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2847,2.25,104.75,0.41415361005511653,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2848,2.25,104.85,0.4195551683946931,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2849,2.25,104.95,0.42497607173959306,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2897,2.25,109.75,0.6822706612471476,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2898,2.25,109.85,0.6870680321715401,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2899,2.25,109.95,0.6918256861313219,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2900,2.25,110.05,0.6965429544421575,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2901,2.25,110.15,0.7012191994913254,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2902,2.25,110.25,0.7058538147831814,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2903,2.25,110.35,0.7104462249406267,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2904,2.25,110.45,0.7149958856636384,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2905,2.25,110.55,0.7195022836460239,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2906,2.25,110.65,0.7239649364516361,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2907,2.25,110.75,0.7283833923513274,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2908,2.25,110.85,0.7327572301220217,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2909,2.25,110.95,0.7370860588092951,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2910,2.25,111.05,0.7413695174549368,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
922:2911,2.25,111.15,0.74560727479099,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2817,2.35,101.75,0.25007294910393385,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2818,2.35,101.85,0.25426328571983076,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2819,2.35,101.95,0.25849963437379747,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2839,2.35,103.95,0.3522046384839128,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2840,2.35,104.05,0.357290987209993,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2841,2.35,104.15,0.36240969615977253,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2842,2.35,104.25,0.3675597995463602,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2843,2.35,104.35,0.3727403041072414,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2844,2.35,104.45,0.3779501897231907,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2845,2.35,104.55,0.3831884100853758,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2846,2.35,104.65,0.3884538934100801,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2847,2.35,104.75,0.3937455432003059,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
923:2848,2.35,104.85,0.39906223905341803,irrawaddy_dolphin,Orcaella brevirostris,logistic_regression
